               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  99,            0.020909,            0.010355,           0.0078822,             0.98871,             0.99972,               0.995,             0.65831,             0.01399,           0.0026186,          0.00032516,            0.005149,            0.005149,            0.005149
                 100,            0.019199,            0.010628,            0.007402,             0.99054,                   1,               0.995,             0.67548,            0.014605,           0.0024785,            0.001151,           0.0050995,           0.0050995,           0.0050995
                 101,            0.020524,            0.010072,           0.0071845,             0.99317,                   1,               0.995,             0.66053,            0.015624,           0.0025662,          0.00063429,             0.00505,             0.00505,             0.00505
                 102,            0.018485,            0.010752,           0.0065042,             0.95666,             0.93352,             0.99197,             0.62254,            0.017097,           0.0024606,            0.001855,           0.0050005,           0.0050005,           0.0050005
                 103,            0.022484,            0.010259,           0.0079859,              0.9805,                   1,               0.995,             0.64867,            0.016972,           0.0023803,          0.00036879,            0.004951,            0.004951,            0.004951
                 104,            0.021573,            0.010842,           0.0088638,             0.98695,                   1,               0.995,             0.60375,            0.018474,           0.0024185,          0.00044689,           0.0049015,           0.0049015,           0.0049015
                 105,            0.019602,            0.010525,           0.0058996,             0.94872,             0.89717,             0.99197,             0.49573,            0.020269,           0.0035847,           0.0031115,            0.004852,            0.004852,            0.004852
                 106,            0.019977,            0.010651,           0.0086097,             0.97554,             0.99439,               0.995,             0.62882,             0.01461,           0.0024991,          0.00049181,           0.0048025,           0.0048025,           0.0048025
                 107,            0.019826,            0.010042,           0.0098438,             0.99091,                   1,               0.995,             0.70398,            0.015398,           0.0028036,          0.00034132,            0.004753,            0.004753,            0.004753
                 108,            0.017869,            0.010727,           0.0064067,             0.98278,             0.94147,               0.995,             0.61906,             0.01602,           0.0025826,           0.0036718,           0.0047035,           0.0047035,           0.0047035
                 109,            0.020422,            0.010536,           0.0096041,              0.9888,                   1,               0.995,             0.65624,            0.016491,           0.0028057,          0.00044832,            0.004654,            0.004654,            0.004654
                 110,            0.022949,             0.01044,           0.0093409,              0.9817,                   1,               0.995,             0.61052,              0.0168,           0.0027612,          0.00050633,           0.0046045,           0.0046045,           0.0046045
                 111,             0.01985,             0.01092,           0.0082871,              0.9851,                   1,               0.995,             0.61042,            0.016233,           0.0024903,          0.00027788,            0.004555,            0.004555,            0.004555
                 112,            0.018942,           0.0099612,           0.0067705,             0.98964,                   1,               0.995,             0.64055,            0.016636,           0.0023907,          0.00030406,           0.0045055,           0.0045055,           0.0045055
                 113,            0.022147,            0.010295,           0.0096758,              0.9885,                   1,               0.995,             0.68829,            0.014308,           0.0025597,          0.00021307,            0.004456,            0.004456,            0.004456
                 114,            0.020148,             0.01067,           0.0073991,             0.97556,             0.96756,               0.995,             0.63728,              0.0183,           0.0026079,          0.00075699,           0.0044065,           0.0044065,           0.0044065
                 115,            0.018753,            0.010072,           0.0065813,             0.99211,                   1,               0.995,             0.63287,            0.016555,           0.0025349,          0.00012503,            0.004357,            0.004357,            0.004357
                 116,            0.019117,            0.010614,           0.0073122,             0.98115,                   1,               0.995,             0.68264,            0.014894,           0.0023931,          0.00038724,           0.0043075,           0.0043075,           0.0043075
                 117,            0.020017,            0.010654,           0.0069477,             0.97192,                   1,               0.995,             0.72445,            0.015549,           0.0024304,           0.0002223,            0.004258,            0.004258,            0.004258
                 118,            0.019334,            0.010219,           0.0077198,              0.9883,              0.9809,               0.995,             0.55057,             0.01882,           0.0028542,          0.00062184,           0.0042085,           0.0042085,           0.0042085
                 119,            0.019205,            0.010664,           0.0081737,             0.98492,                   1,               0.995,              0.6565,            0.015622,           0.0026447,           0.0004823,            0.004159,            0.004159,            0.004159
                 120,            0.018437,            0.010259,           0.0059371,             0.98718,                   1,               0.995,             0.70554,            0.016183,           0.0023966,           0.0003695,           0.0041095,           0.0041095,           0.0041095
                 121,            0.019575,            0.010465,           0.0079374,             0.98731,                   1,               0.995,             0.67735,            0.015579,           0.0025697,          0.00015328,             0.00406,             0.00406,             0.00406
                 122,             0.02022,            0.010325,           0.0064261,             0.98061,                   1,               0.995,             0.64309,            0.017694,           0.0025204,          0.00015811,           0.0040105,           0.0040105,           0.0040105
                 123,            0.020336,           0.0099403,           0.0085985,             0.97305,             0.87758,             0.95217,             0.55685,             0.02077,           0.0038911,          0.00026586,            0.003961,            0.003961,            0.003961
                 124,              0.0193,            0.010113,           0.0067715,             0.97301,             0.99378,               0.995,             0.64698,            0.016992,           0.0028746,          0.00024705,           0.0039115,           0.0039115,           0.0039115
                 125,            0.020188,            0.010555,           0.0076471,             0.98203,             0.99694,               0.995,             0.68048,            0.016114,           0.0025318,          0.00017309,            0.003862,            0.003862,            0.003862
                 126,            0.019593,            0.010161,           0.0065066,             0.97038,                   1,               0.995,             0.69408,             0.01643,            0.002558,          0.00025513,           0.0038125,           0.0038125,           0.0038125
                 127,            0.019441,            0.010333,           0.0061052,             0.98889,                   1,               0.995,              0.6851,            0.014504,           0.0025373,          0.00010264,            0.003763,            0.003763,            0.003763
                 128,            0.019203,           0.0097713,           0.0062969,             0.98519,                   1,               0.995,             0.59488,            0.016435,           0.0023376,           0.0001065,           0.0037135,           0.0037135,           0.0037135
                 129,            0.020359,            0.011349,           0.0083563,             0.97218,             0.99668,               0.995,             0.67664,            0.015246,            0.002443,          0.00013039,            0.003664,            0.003664,            0.003664
                 130,            0.019604,           0.0098726,           0.0066121,             0.98456,                   1,               0.995,             0.62688,            0.016911,           0.0024856,          0.00028721,           0.0036145,           0.0036145,           0.0036145
                 131,            0.021558,             0.01016,           0.0072998,             0.98697,                   1,               0.995,             0.62909,            0.016332,           0.0028292,          0.00016379,            0.003565,            0.003565,            0.003565
                 132,            0.019089,            0.010251,           0.0073289,             0.97271,                   1,               0.995,             0.57962,            0.015385,           0.0040079,          0.00046477,           0.0035155,           0.0035155,           0.0035155
                 133,             0.01763,           0.0098745,           0.0075598,             0.98885,                   1,               0.995,             0.70888,            0.014509,           0.0024008,           0.0001536,            0.003466,            0.003466,            0.003466
                 134,            0.021227,            0.010622,            0.009045,             0.98912,                   1,               0.995,             0.65791,            0.016584,           0.0025532,          0.00020968,           0.0034165,           0.0034165,           0.0034165
                 135,              0.0196,            0.010282,           0.0082118,             0.99247,                   1,               0.995,             0.61662,            0.018373,           0.0029078,          0.00028342,            0.003367,            0.003367,            0.003367
                 136,            0.020161,            0.010237,           0.0080327,             0.98979,                   1,               0.995,             0.66225,            0.017533,           0.0025899,          0.00018021,           0.0033175,           0.0033175,           0.0033175
                 137,            0.020351,           0.0099099,           0.0088927,             0.97894,                   1,               0.995,             0.64519,            0.018607,           0.0026461,          0.00030012,            0.003268,            0.003268,            0.003268
